Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
on,on,off,on,off,off,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,off,on,off,on,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,off,on,on,off,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,off,on,on,on,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,on,off,off,off,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,on,off,off,on,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,on,off,on,off,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,on,off,on,on,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,on,on,off,off,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,on,on,off,on,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,on,on,on,off,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,on,on,on,on,on,any,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,off,off,any,off,any,off,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,off,on,any,off,any,off,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
on,off,off,any,on,any,off,76,68,44,76,76,68,61,76,72,68,32,72,72,68,32,72
